Food Name,Food Code,Description,Group,Group (sub-class),Comments,Description Footnote,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Starch (g),Citric acid (g),Malic acid (g),Total Phytosterols (mg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),5-mehtyl folate (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Cholesterol (mg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg)
Advocaat,17-241,4 samples of different brands,Alcoholic beverages ,QI,As MSF 17-241 with additional values from 50-1119,,274,4.7,27.1,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0.75,4.7,6.3,28.4,260,0,0,28.4,1.7,0,0,26.7,0,0,12.8,0,0,0,1.9,0,0,0,0,0,0,0,3,0,0,0,0.9,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vermouth, dry",17-239,5 samples of different brands,Alcoholic beverages ,QG,As MSF 17-239. Additional data from 50-1117,,109,0.1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1,0.01,0.1,0,3,109,0,0,3,1.1,0,1.2,0.7,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,11,34,7,6,6,0.3,0.03,0,7,0,0,0
"White wine, sweet",17-233,Mixed sample from different countries,Alcoholic beverages ,QE,As MSF 17-233. Additional data from 50-1112,,96,0.2,5.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.6,0.03,0.2,0,5.9,94,0,0,5.9,2.6,0,3.3,0.1,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0.03,0,0,13,110,14,11,13,0.6,0.05,0,7,0.1,0,0
"White wine, sparkling",17-232,5 samples from different countries,Alcoholic beverages ,QE,As MSF 17-232,,75,0.3,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.8,0.04,0.3,0,5.1,74,0,0,5.1,2.2,0,2.8,0.1,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.02,0,0,0.04,1,0,5,58,9,7,9,0.5,0.01,0,7,0.04,0,0
"White wine, dry",17-230,5 samples from different countries,Alcoholic beverages ,QE,As MSF 17-230. Additional data from 50-1109,,67,0.1,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1,0.02,0.1,0,0.6,66,0,0,0.6,0.3,0,0.3,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.02,0,0,0.03,0,0,4,61,9,8,6,0.5,0.01,0,10,0.1,0,0
"Rose wine, medium",17-229,5 samples from different countries,Alcoholic beverages ,QE,As MSF 17-229. Additional data from 50-1108,,71,0.1,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.3,0.01,0.1,0,2.5,71,0,0,2.5,0.8,0,1.7,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.02,0,0,0.04,0,0,4,75,12,7,6,1,0.02,0,7,0.1,0,0
Red wine,17-228,Mixed sample from different countries,Alcoholic beverages ,QE,"As MSF 17-228, Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,69,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.4,0.03,0.1,0,0.2,68,0,0,0.2,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0,0,0.03,0,1,0.04,2,0,7,110,7,11,13,0.9,0.06,0.1,11,0.1,0,0
"Ginger ale, dry",17-178,"10 samples, 5 brands",Beverages,PCA,MSF,,16,0,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.9,0,0,0,3.9,15,0,0,3.9,1.7,0,1.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffee, infusion, average",17-152,Average of strong and weak infusions,Beverages,PAC,"As MSF 17-152, vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,0.03,0.2,0,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.01,0.7,0,0,0,0,0,0,3,0,0,92,3,8,7,0.1,0,0,3,0.05,0,0
"Pineapple juice, unsweetened",14-286,"18 samples, cartons only",Beverages,PE,As FAN 14-586,,43,0.3,10.3,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,87.8,0.05,0.3,0.1,10.5,41,0,0,10.5,2.9,0,2.9,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0.03,0,0.06,0.01,0.1,0.1,0,0.05,0,8,0.07,0,11,8,53,8,6,1,0.2,0.02,0.1,15,0.7,0,0
"Orange juice, unsweetened",14-301,"60 samples; fresh, canned, bottled and frozen",Beverages,PE,"MW5 50-1091 and  folate data from LGC, Individual folates in foodstuffs, 1996, food surveillance information sheet No.92, Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,38,0.5,8.7,8.7,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,21,0,0,0,0,16,0.17,0,0,0.01,0,0,0,89.2,0.08,0.5,0.1,8.8,36,0,0,8.8,2.8,0,2.9,3.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0.17,0.06,0.08,0.02,0.2,0.1,0,0.07,0,18,0.13,1,39,10,150,10,8,13,0.2,0,0,9,0.1,1,2
"Lemon juice, fresh",14-277,Analysis and literature sources,Beverages,PE,As FAN 14-277,,8,0.3,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,91.4,0.05,0.3,0,1.6,7,0,0,1.6,0.5,0,0.9,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0.03,0.01,0.1,0,0,0.05,0,13,0.1,0.3,36,1,130,7,7,8,0.1,0.03,0,3,0,1,0
"Grapefruit juice, unsweetened",14-275,"50 samples; cartons, canned, bottled and frozen",Beverages,PE,As FAN 14-275,Frozen samples were diluted as per manufacturers' instructions prior to analysis,35,0.4,8.2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.19,0,0,0.01,0,0,0,89.4,0.07,0.4,0.1,8.3,33,0,0,8.3,3,0,3.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19,0,0.04,0.01,0.2,0,0,0.02,0,6,0.08,1,31,7,100,14,8,11,0.2,0.01,0,4,0.2,1,0
"Grape juice, unsweetened",14-273,"10 samples, 6 brands; red and white juice",Beverages,PE,As FAN 14-273,,49,0.3,11.7,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4,0.05,0.3,0.1,11.7,46,0,0,11.7,5.5,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.04,0,1,0.03,0.7,0,7,55,19,7,14,0.9,0,0.1,6,0.1,1,0
"Apple juice, unsweetened",14-271,10 samples; bottles and cartons,Beverages,PE,As FAN 14-271,,41,0.1,9.8,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.01,0.1,0.1,9.9,38,0,0,9.9,2.6,0,6.3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.1,0,0,0.02,0,4,0.04,0.8,14,2,110,7,5,6,0.1,0,0,3,0,0,0
"Complan powder, savoury",17-541,"Chicken flavour, manufacturer's data (Heinz)",Beverages,PAA,"Manufacturers data, Farleys, 2000. Fibre fractions from 12-086",,433,15.1,60.4,6.8,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,2.42,15.4,14.6,64.4,435,6.2,0,7.3,1.9,0,0.1,0.2,3.8,1.3,0,0.3,0,0,6.2,0,0,0,0,0,0,0,5.9,0,0,0,1.6,0,0,0,0,0,0,0,310,0,310,4.4,3.5,0,0.78,0.58,7,3.5,10.5,0.61,0.7,170,2.3,50,44,1300,480,360,79,380,6.7,0.53,4.2,1300,0.61,20,61
Coffee and chicory essence,17-545,7 bottles of the same brand (CAMP),Beverages,PAA,"As MW6, Manufacturer's data, McCormick Europe condiment Division, Sep 2000",,222,1.6,53.5,51.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9,0.33,1.6,0.2,56,218,2.2,0,53.8,2.9,0,3.4,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,2.8,0,0,0,0,0,0,0,0,65,75,30,39,90,0.7,0.6,0,85,0,0,0
"Build-up powder, soup",17-535,"Manufacturer's data (Nestlé). Average of chicken, mushroom and potato & leek flavours",Beverages,PAA,"Data from Manufacturer (Nestle). Proximate values -  total carbohydrate and its components, starch and sugars are expressed as their monosaccharide equivalents",,370,20.3,53.8,32,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.29,20.3,8.2,59.2,377,24,0,32.8,0,0,0,0,0,17.2,0,0,1,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,652,4.2,8.1,0,1.23,1.33,14.5,0,0,1.73,0.7,163,4.97,120,49,1567,767,652,243,652,11.3,0,12,0,0,0,124
"Coffee, instant",17-158,"10 jars, 2 brands",Beverages,PAA,"As MSF 17-158 Vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000",,75,14.6,4.1,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.26,14.6,0,4.5,75,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0.04,0.21,24.8,2.9,0,0.02,0,11,0,67,0,81,3780,140,330,310,4.6,0.62,1.1,65,2.1,9,0
Horlicks powder,17-503,Manufacturer's data (SmithKline Beecham),Beverages,PAA,Manufacturer's data (SmithKline Beecham) and MW5 (50-1069) for sugars. Fibre fractions from 12-097,,373,9.6,75,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.54,9.6,4.7,78,373,25,0,53,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,640,4,0,0,1.12,1.28,14.4,3,17.4,0,0.8,160,0,0,48,490,686,640,39,300,11.2,0.2,0.6,0,0,0,0
Ovaltine powder,17-504,"6 samples, Manufacturer's data (Novartis)",Beverages,PAA,"Data from Manufacturer (Novartis). Proximate values -  total carbohydrate and its components, starch and sugars expressed as  monosaccharide equivalents, folate from LGC, added folic acid in supplements and fortified foods, 1995. Fibre from 12-108",,360,7.3,78.3,47,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.14,7.3,1.9,81.4,352,34.4,0,47,0,0,0,0,0,0,0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,1.4,1.6,0,0,0,2,0,400,0,0,120,130,156,800,300,0,28,0,0,136,0,0,0
"Lime juice cordial, undiluted",17-200,6 bottles of the same brand (Roses),Beverages,PCC,As MSF 17-200,,118,0.1,29.5,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,0.01,0.1,0,29.8,112,0,0,29.8,11.5,0,11,5.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,9,4,5,0.3,0.07,0,4,0,0,0
"Fruit drink/squash, undiluted",17-189,"Mixed sample; lemon, orange, apple and mixed fruit flavours",Beverages,PCC,As MSF 17-189,,99,0.1,24.6,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.4,0.02,0.1,0,24.8,93,0,0,24.6,10.3,0,10.3,3.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,0,0,0.1,0,0,0.01,0,2,0,0,25,40,27,6,1,2,0,0,0,4,0,0,0
Shortbread,11-523,4 Samples,Cereals and cereal products ,AM,"LGC, Nutritional analysis of foods for pre-school children, 1992, Food Surveillance sheet No. 18",,507,6.6,58.2,15,43.3,0,0,0,0,0,0,0,0,0,0,0,0,285,56,0,0,0,149,0,0,0,0,0.36,0,0.72,0.17,0,0.87,0,0,0,3.3,1.05,6,27.5,63.3,509,47.6,0,15.7,0.2,0,0.1,15.3,0,0.1,0,1.9,0,0,18.23,0,0,0,0,0,0,0,6.74,0,0,0,1.26,0,0,0,0,0,0,74,327,149,352,0.4,0.88,0,0.18,0.03,1.1,1.2,2.3,0.08,0,14,0.3,1,0,270,110,89,13,74,1.5,0,0.3,445,0.48,0,0
"Crunch biscuits, cream filled",11-520,"5 samples, 2 brands of crunch creams",Cereals and cereal products ,AM,"Data as MW6 11-520 and FA supplement 11-408, source LGC, Nutritional analysis of foods for pre-school children, 1992, Food Surveillance sheet No. 18.",,496,5.2,63.6,39.2,24.4,0,0,0,0,37.4,21.1,0.2,6.9,1.4,0.3,0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0.1,0.22,1.32,0,0,0,2.4,0.91,5.2,24.6,67.9,497,26.8,0,41.1,0.8,0,0.5,37.1,1.5,1.2,0,1,0,63.8,15,7.1,1.67,0.4,0.09,25.2,5.93,28.9,6.8,7.2,1.69,7.3,1.72,63.8,15,0,0,3.8,0.89,3,0,0,0,0,1.63,0,0.23,0.15,1.6,1,2.6,0.07,0,11,0.4,1,0,260,120,83,16,100,2.1,0,0.5,295,0.41,0,65
Semi-sweet biscuits,11-521,"10 samples, 3 brands including Osborne, Rich Tea and Marie",Cereals and cereal products ,AM,"Data as MW5 50-104, Fats as FA Supplement 11-381, Vitamin E from MMB, Fat, fatty acids and vitamin E content of a selection of biscuits, cakes and desserts, 1992. Vitamin K1 from Bolton-Smith et al, Br.J.Nutr. 2000",,425,7.4,68.9,21.2,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,2.14,0,0,0,2.5,1.18,6.7,13.3,74.8,427,52.5,0,22.3,0,0,0,19.1,3.2,0,0,1.7,0,0,6.25,9.63,1.22,0.29,0.04,34.37,4.37,0,5.09,9.28,1.18,0,1.26,49.48,6.25,0.16,0.02,6.3,0.8,31,0,0,0,0,2.35,1.71,0.13,0.08,1.5,1.4,2.9,0.06,0,13,0,0,0,410,140,120,17,84,2.1,0.08,0.6,520,0,0,0
